,DrugBankIDLabel,UniProtIDLabel,Interaction,Predicted interaction
523,4790,2920,1,0.5082398305587671
524,4790,2339,1,0.5009768046969694
525,4790,2735,1,0.5274290638909577
526,4790,2712,1,0.5877573632896124
527,4426,3431,1,0.4877889920649807
528,4426,372,1,0.48619427759902006
529,4426,4182,1,0.4918684185300395
530,4426,1358,1,0.5136762621519426
531,4426,1261,1,0.5070481505701956
532,4426,1873,1,0.52861974516565
533,4426,1928,1,0.45372299312326125
534,3077,879,1,0.47689005006696905
535,3077,2172,1,0.49327873705899533
536,3077,2374,1,0.4467698592388256
537,3077,3417,1,0.48088790136872517
538,3077,505,1,0.5006188771672588
539,3077,1918,1,0.49785988339888354
540,3077,3151,1,0.4762066753766109
541,3077,2712,1,0.5340006033157609
542,3077,2930,1,0.4936931465999599
543,3616,2100,1,0.7110567995517529
544,3616,2646,1,0.4865695836190028
545,3616,2581,1,0.4642617319221767
546,3616,499,1,0.4645460062190464
547,3616,2517,1,0.6008480125859308
548,3616,2107,1,0.49869488201340223
549,3616,482,1,0.5112461648861267
550,3616,13,1,0.6448461571994935
551,3087,2963,1,0.4630757394120235
552,3087,4608,1,0.4683721949212243
553,3087,2031,1,0.44932532529658437
554,3087,1049,1,0.4726626390890424
555,3087,558,1,0.4578957146977014
556,5575,609,1,0.6528654626692589
557,5575,2963,1,0.4758676325248718
558,5575,4608,1,0.4876914254846073
559,5575,1049,1,0.5056446469766753
560,5575,4123,1,0.6554454689309961
561,5575,1195,1,0.4932558118690186
562,5575,3654,1,0.45896749955403837
563,5575,2596,1,0.5004098577222736
564,5575,4056,1,0.5052644388410037
565,6201,1440,1,0.4915768911939499
566,6201,4435,1,0.5451147963498979
567,6201,1374,1,0.5236390220711948
568,6201,3700,1,0.5094239804014985
569,6201,106,1,0.5666419920533996
570,6201,4600,1,0.5698011313757598
571,6201,2341,1,0.4955676160762254
572,6201,4225,1,0.5295887215096899
573,6201,4209,1,0.5107250333855783
574,6201,4370,1,0.5233081300329823
575,6201,1326,1,0.5347708239753246
576,6201,2326,1,0.5623589133371447
577,6201,4504,1,0.5490295968488601
578,6201,4408,1,0.5702714432191014
579,6201,4748,1,0.5682950091173941
580,6201,1316,1,0.5669210549507531
581,6201,4108,1,0.5429697590341627
582,6201,2157,1,0.5311351865926365
583,6201,1401,1,0.5446051864739576
584,6201,4446,1,0.538414071611123
585,6201,3593,1,0.627192943394875
586,6201,2269,1,0.5515633033126973
587,6201,742,1,0.5101101423310288
588,6201,537,1,0.5709086125159796
589,6201,1530,1,0.635841435998708
590,3540,2219,1,0.481410714535204
